,created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
0,2022-05-09 03:42:14+00:00,1523508616514338816,@SujeetK49129395 @kapilsharma आप जैसे पढ़े लिखो की मेरी ओर से नमस्ते। Get well soon Sir,skapil15,Kapil Sharma,Thu Jul 11 11:54:33 +0000 2013,[]
1,2022-05-08 18:26:34+00:00,1523368778771304448,@kapilsharma तुम बेरोजगार और अनपढ़  होना इसलिए ऐसी बाते कर रहे हों भाजपा में जो मिनिस्टर है वो तो 6ti पास है मान्यवर https://t.co/tBenY4XcRb,SujeetK49129395,sujeet Kumar,Sun May 21 16:42:28 +0000 2017,"[{'url': 'https://t.co/tBenY4XcRb', 'expanded_url': 'https://twitter.com/skapil15/status/1523257693464502272', 'display_url': 'twitter.com/skapil15/statu…', 'indices': [117, 140]}]"
2,2022-05-08 14:30:00+00:00,1523309244363149313,"Have you also seen ""The Great Dictator"" movie by Charlie Chaplin? Let us know in the comments below. 
Watch The Anu… https://t.co/ocauZbC0sM",ColorsRishteyUK,Colors Rishtey UK,Mon Sep 04 11:30:36 +0000 2017,"[{'url': 'https://t.co/ocauZbC0sM', 'expanded_url': 'https://twitter.com/i/web/status/1523309244363149313', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
3,2022-05-08 06:34:04+00:00,1523189474116911106,"Tension par hoga comedy ka vaar, kyunki aapko hasaane @kapilsharma ke ghar aa rahe hain #JayeshbhaiJordaar! ♥️ Dekh… https://t.co/fDLU77K5HI",firstindiatelly,First India Telly,Fri Apr 01 10:37:56 +0000 2022,"[{'url': 'https://t.co/fDLU77K5HI', 'expanded_url': 'https://twitter.com/i/web/status/1523189474116911106', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
4,2022-05-08 06:09:55+00:00,1523183397333389312,"Humbled to be a part of web series on Sikhs “Pehchaan”
It’s a delight to be at Kapil Sharma show with Mahesh Bhatt… https://t.co/6JvQzCQjAI",khalsa2016,Bikramjeet Singh ਬਿਕਰਮਜੀਤ ਸਿੰਘ,Wed Jul 27 18:03:42 +0000 2016,"[{'url': 'https://t.co/6JvQzCQjAI', 'expanded_url': 'https://twitter.com/i/web/status/1523183397333389312', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
5,2022-05-06 15:11:30+00:00,1522594912104902657,@SonuSood @kapilsharma @bharti_lalli  plz paji meri help karo mein pore six month baad tuhadi kiti gyi help da ik i… https://t.co/gs3y2HgCaC,Sandeep11639159,Sandeep,Fri Apr 15 12:44:03 +0000 2022,"[{'url': 'https://t.co/gs3y2HgCaC', 'expanded_url': 'https://twitter.com/i/web/status/1522594912104902657', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
6,2022-05-04 09:15:31+00:00,1521780551874756608,@consciousplanet @sadhguru @isha.foundation @sounds_of_isha #SaveSoil #ShïVöHåM #adiyogi @kapilsharma… https://t.co/11gliXaGgw,RajAzadOO7,Rajat Rajouria,Fri Oct 11 02:53:59 +0000 2013,"[{'url': 'https://t.co/11gliXaGgw', 'expanded_url': 'https://twitter.com/i/web/status/1521780551874756608', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]"
7,2022-05-03 12:27:00+00:00,1521466352548335616,"RT @akshaykumar: For @aanandlrai’s passion, @saraalikhan95’s masti, my magic &amp; of course @kapilsharma’s comedy, catch the special Atrangi S…",LabhchandP,labhchand prajapati,Tue Mar 31 06:04:19 +0000 2020,[]
8,2022-05-03 07:24:52+00:00,1521390319031488512,"#eidmubarak #eid #eidcollection happy eid mubarak to all around world  in the Islamic world 
#eidcollection  eid mu… https://t.co/bOXESBnsKh",Ahmadrazamalikk,Ahmad raza malik,Mon Sep 14 10:57:21 +0000 2020,"[{'url': 'https://t.co/bOXESBnsKh', 'expanded_url': 'https://twitter.com/i/web/status/1521390319031488512', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
9,2022-05-01 04:51:30+00:00,1520626946589134848,"@iamsrk @BeingSalmanKhan @akshaykumar @deepikapadukone @priyankachopra @KapilSharma 
Sir ,plz help me things are wo… https://t.co/4SwznFQdFj",avsarcasm,Abhishek Verma,Mon Mar 02 22:51:27 +0000 2020,"[{'url': 'https://t.co/4SwznFQdFj', 'expanded_url': 'https://twitter.com/i/web/status/1520626946589134848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
